energy,danceability,liveness,valence,acousticness,speechiness,track_name,artist_name,rating
0.807,0.763,0.348,0.5589999999999999,0.0714,0.035,Electric Feel,MGMT,3.5
93.0,45.0,36.0,17.0,0.0,7.0,Kids,MGMT,3.5
99.0,38.0,37.0,77.0,0.0,6.0,American Idiot,Green Day,3.28
81.0,55.0,10.0,15.0,2.0,3.0,Wake Me up When September Ends,Green Day,3.28
66.0,43.0,23.0,28.0,0.0,3.0,Yellow,Coldplay,3.52
55.0,56.0,17.0,19.0,19.0,3.0,Trouble,Coldplay,3.52
91.0,27.0,15.0,48.0,0.0,7.0,God Save the Queen,Sex Pistols,3.57
98.0,32.0,20.0,17.0,4.0,12.0,Anarchy in the U.K.,Sex Pistols,3.57
43.0,47.0,23.0,24.0,18.0,3.0,Drive,R.E.M.,3.89
32.0,47.0,12.0,17.0,62.0,3.0,Everybody Hurts,R.E.M.,3.89
70.0,67.0,20.0,66.0,42.0,3.0,Man On The Moon,R.E.M.,3.89
39.0,57.0,10.0,57.0,80.0,3.0,Nightswimming,R.E.M.,3.89
44.0,42.0,14.0,30.0,22.0,3.0,Find The River,R.E.M.,3.89
72.0,60.0,11.0,55.0,8.0,3.0,Scar Tissue,Red Hot Chili Peppers,3.48
80.0,46.0,8.0,51.0,0.0,6.0,Otherside,Red Hot Chili Peppers,3.48
77.0,59.0,13.0,33.0,0.0,3.0,Californication,Red Hot Chili Peppers,3.48
47.0,24.0,12.0,39.0,31.0,4.0,Road Trippin',Red Hot Chili Peppers,3.48
63.0,63.0,17.0,49.0,45.0,3.0,Gimme Shelter,The Rolling Stones,3.97
66.0,40.0,17.0,51.0,77.0,12.0,Midnight Rambler,The Rolling Stones,3.97
62.0,32.0,25.0,47.0,64.0,6.0,You Can't Always Get What You Want,The Rolling Stones,3.97
70.0,31.0,8.0,76.0,1.0,5.0,Back In Black,AC/DC,3.53
77.0,53.0,39.0,76.0,0.0,6.0,You Shook Me All Night Long,AC/DC,3.53
0.284,0.528,0.109,0.172,0.795,0.0287,Mariners Apartment Complex,Lana Del Rey,3.71
0.296,0.3879999999999999,0.105,0.294,0.916,0.0301,Venice Bitch,Lana Del Rey,3.71
0.144,0.492,0.161,0.2739999999999999,0.965,0.0708,hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey,3.71
94.0,44.0,9.0,78.0,0.0,6.0,Basket Case,Green Day,3.57
91.0,53.0,23.0,81.0,2.0,3.0,When I Come Around,Green Day,3.57
0.721,0.594,0.0887,0.253,0.0209,0.0957,Green Light,Lorde,3.7
0.431,0.7709999999999999,0.0934,0.268,0.287,0.0577,Homemade Dynamite,Lorde,3.7
0.562,0.617,0.111,0.536,0.00268,0.0531,Perfect Places,Lorde,3.7
48.0,26.0,11.0,7.0,4.0,3.0,Politik,Coldplay,3.53
59.0,43.0,30.0,19.0,6.0,3.0,In My Place,Coldplay,3.53
56.0,61.0,4.0,24.0,18.0,3.0,God Put a Smile upon Your Face,Coldplay,3.53
44.0,56.0,11.0,21.0,73.0,2.0,The Scientist,Coldplay,3.53
75.0,58.0,18.0,26.0,60.0,3.0,Clocks,Coldplay,3.53
41.0,61.0,23.0,23.0,54.0,3.0,Green Eyes,Coldplay,3.53
18.0,26.0,12.0,11.0,84.0,3.0,Amsterdam,Coldplay,3.53
80.0,96.0,9.0,84.0,0.0,15.0,Around the World,Daft Punk,3.52
0.278,0.0,0.669,0.0,0.768,0.0,!!!!!!!,Billie Eilish,3.19
0.418,0.708,0.1,0.578,0.308,0.368,bad guy,Billie Eilish,3.19
0.128,0.512,0.2769999999999999,0.0473,0.778,0.313,xanny,Billie Eilish,3.19
0.552,0.6970000000000001,0.147,0.278,0.479,0.196,you should see me in a crown,Billie Eilish,3.19
0.447,0.741,0.187,0.551,0.316,0.3879999999999999,all the good girls go to hell,Billie Eilish,3.19
0.353,0.85,0.8,0.3289999999999999,0.389,0.3339999999999999,wish you were gay,Billie Eilish,3.19
