energy,danceability,liveness,valence,acousticness,speechiness,track_name,artist_name,rating
0.762,0.5579999999999999,0.099,0.392,0.203,0.314,Same Difference,Token,-1
0.943,0.371,0.3229999999999999,0.332,0.00281,0.0865,Wolfbite,Bat Fangs,-1
0.8390000000000001,0.568,0.181,0.12,0.0146,0.0276,Hyrule Temple,Derek Pope,-1
0.153,0.22,0.094,0.048,0.953,0.0386,The Path Of The Fossils - Day 1,Ludovico Einaudi,-1
0.373,0.774,0.0828,0.392,0.0436,0.076,Turbo,Tonee Marino,-1
0.995,0.416,0.34,0.33,0.000164,0.119,Shadow Of Your Love,Guns N' Roses,-1
0.4679999999999999,0.831,0.0438,0.919,0.0847,0.128,Up,Jon Bap,-1
0.111,0.147,0.1119999999999999,0.0373,0.949,0.0345,Interstellar,Voyager,-1
0.639,0.797,0.107,0.75,0.492,0.124,jeg føler meg som tshawe,MARS,-1
0.7440000000000001,0.494,0.38,0.488,0.273,0.0987,Best Shot - Heyder Remix,Jimmie Allen,-1
0.74,0.65,0.099,0.742,0.00144,0.0476,Slow Dancin' in the Dark,Kimberly Dawn,-1
0.5920000000000001,0.674,0.1169999999999999,0.152,0.253,0.0496,Feels Right,Alina Baraz,-1
0.507,0.908,0.0886,0.542,0.0215,0.0513,Lyfestyle,Peter Pratt,-1
0.221,0.6,0.121,0.364,0.828,0.0313,She Took a Gamble,Hannah Read,-1
0.243,0.4539999999999999,0.451,0.191,0.885,0.0304,Release Me,Inara George,-1
0.36,0.8759999999999999,0.106,0.432,0.00582,0.1889999999999999,Feelin' freestyle,Theboycq,-1
0.931,0.445,0.25,0.4529999999999999,0.0514,0.0684,Body And Blood,City Mouth,-1
0.446,0.655,0.0836,0.3879999999999999,0.255,0.0702,Studio feat. Young Thug,Jacquees,-1
0.728,0.46,0.66,0.142,0.1689999999999999,0.0376,No Words (feat. Belle Humble),Sander van Doorn,-1
0.6509999999999999,0.782,0.0907,0.65,0.0601,0.1169999999999999,Make Up (feat. Ava Max),Vice,-1
0.44,0.6729999999999999,0.0905,0.35,0.58,0.0314,Swing,Hovvdy,-1
0.804,0.731,0.303,0.517,0.00517,0.0279999999999999,Toy Soldier,CIC,-1
0.504,0.401,0.142,0.444,0.477,0.235,Real,Adrian Daniel,-1
0.83,0.535,0.523,0.687,0.0381,0.046,Poorn in the Nightmare,De Lux,-1
0.6940000000000001,0.6629999999999999,0.239,0.5529999999999999,0.0586,0.13,Lady,CVIRO,-1
0.5539999999999999,0.6970000000000001,0.367,0.531,0.6859999999999999,0.271,La Fonda,Engelwood,-1
0.632,0.8420000000000001,0.0716,0.446,0.106,0.0895,Mind,DMW,-1
0.113,0.395,0.119,0.0684,0.899,0.0829,Thugger’s Interlude,6LACK,-1
0.903,0.726,0.66,0.104,0.00293,0.0488,To The Club - HOOX Remix,Spankox,-1
0.635,0.4539999999999999,0.301,0.157,0.00305,0.0292,Awake,Alison Wonderland,-1
0.283,0.8240000000000001,0.242,0.531,0.0155,0.0571,India Sing to Me,DJ Straight G,-1
0.3289999999999999,0.562,0.182,0.0332,0.988,0.0353,ARKA,ONUKA,-1
0.7879999999999999,0.639,0.123,0.688,0.00123,0.0464,Oakisland,Sabrina & Samantha,-1
0.638,0.931,0.114,0.5870000000000001,0.241,0.0846,Ay Mi Madre,Luis Vargas,-1
0.423,0.4539999999999999,0.0718,0.351,0.606,0.0289999999999999,Tune Of Heaven,Depher,-1
0.5329999999999999,0.698,0.3329999999999999,0.275,0.542,0.0437,Have You Ever,Brandy,-1
0.435,0.282,0.143,0.24,0.784,0.033,Ugly Man,The Manhattan Transfer,-1
0.6559999999999999,0.77,0.115,0.6659999999999999,0.411,0.27,Hundreds,House of Pharaohs,-1
0.888,0.7959999999999999,0.068,0.5379999999999999,0.6409999999999999,0.118,Deep Dive Side 2,Houzemaster,-1
0.508,0.716,0.2689999999999999,0.425,0.0563,0.0311,Jaya Bharatha Janani,Octate Cantable,-1
0.318,0.857,0.0746,0.584,0.355,0.3329999999999999,speaking with trees,Delayde,-1
0.07,0.1669999999999999,0.1169999999999999,0.0913,0.972,0.0432,"Symphony No. 102 in B-Flat Major, Hob. I:102: II. Adagio",Franz Joseph Haydn,-1
0.51,0.614,0.104,0.613,0.616,0.0328,Starting All Over Again - Unplugged Version,Daryl Hall & John Oates,-1
0.696,0.491,0.3929999999999999,0.932,0.7120000000000001,0.0364,Oliver's Army - Live in Scotland,Hayseed Dixie,-1
0.7509999999999999,0.613,0.0888,0.659,0.14,0.2689999999999999,Fucked Up,Mentum,-1
0.903,0.645,0.124,0.7859999999999999,0.15,0.0828,Otra Noche en Miami,Bad Alan Sex,-1
0.0607,0.45,0.1639999999999999,0.0996,0.981,0.0573,"Markus Passion, BWV 247: Recitativo (Evangelista) ""Und da sie ihn verspottet hatten"" (aus BWV 244)",Johann Sebastian Bach,-1
0.348,0.826,0.0723,0.2189999999999999,0.435,0.063,Too Many,770,-1
0.684,0.594,0.296,0.963,0.182,0.0686,El Jefazo,Los Tucanes De Tijuana,-1
0.706,0.8009999999999999,0.0913,0.8029999999999999,0.584,0.0353,Let You Go,bvd kult,-1
0.6679999999999999,0.436,0.0774,0.103,0.0139,0.0477,Heartache,Local Sound,-1
0.7859999999999999,0.718,0.074,0.278,0.0271,0.0372,Faces,Felix Cartal,-1
0.534,0.605,0.139,0.44,0.00688,0.263,Peace,E.T.,-1
0.546,0.8270000000000001,0.368,0.693,0.0418,0.424,Purpose,Lor Myddie,-1
0.857,0.773,0.0708,0.564,0.0529,0.208,Rush,Bailo,-1
0.897,0.889,0.113,0.8390000000000001,0.000294,0.099,On Fire - Original Mix,C.O.Z.,-1
0.906,0.492,0.0889,0.488,0.173,0.174,Sketch - Theme,SS Thaman,-1
0.307,0.655,0.0982,0.3229999999999999,0.868,0.0295,Praha,SBGB,-1
0.875,0.4579999999999999,0.195,0.0364,0.000137,0.0522,Existence (ASOT 850 - Part 2),Arkham Knights,-1
0.151,0.215,0.139,0.155,0.8690000000000001,0.0634,I Wouldn't Be,Kodaline,-1
0.615,0.5820000000000001,0.103,0.354,0.347,0.247,Beat Take 1,The Neighbourhood,-1
0.785,0.563,0.36,0.517,0.138,0.327,Barrio,Aleman,-1
0.616,0.7659999999999999,0.145,0.435,0.1119999999999999,0.0709,Die as Your Man,Arian Romal,-1
0.527,0.534,0.186,0.612,0.000647,0.033,Some Might Say,Touchdown Strikes,-1
0.8420000000000001,0.637,0.271,0.492,0.000305,0.0284,Guerilla Belief,Blastrolabe,-1
0.635,0.835,0.125,0.481,0.434,0.0564,La Realidad,Fer Young,-1
0.0303,0.299,0.106,0.473,0.979,0.0463,Darkvayle,Ratburger,-1
0.474,0.8490000000000001,0.105,0.486,0.42,0.141,Fallin,Felly,-1
0.738,0.7659999999999999,0.0856,0.7829999999999999,0.0738,0.0388,Neo Seoul - Radio Edit,Bondax,-1
0.677,0.868,0.0456,0.3779999999999999,0.298,0.3429999999999999,Rambo,T.H,-1
0.637,0.5329999999999999,0.369,0.557,0.063,0.0368,Wish,Gygax,-1
0.764,0.534,0.0722,0.303,0.00514,0.0457,Splitting in Two,Mating Ritual,-1
0.191,0.517,0.114,0.104,0.602,0.0427,Detritus,Ben Prunty,-1
0.872,0.614,0.158,0.636,0.0379,0.147,Personal - Sebastian Perez Remix,HRVY,-1
0.813,0.728,0.1,0.8809999999999999,0.0999,0.0501,El Rincón de los Cobardes,Andy & Lucas,-1
0.879,0.547,0.0669,0.83,0.00295,0.0831,Geo Metro,Giant Kitty,-1
0.662,0.483,0.0216,0.8029999999999999,0.151,0.0586,No Brainer,Kidz Bop Kids,-1
0.281,0.6,0.106,0.325,0.826,0.0328,서툰 마음 (Prod. 정키) Confession (Prod. Jung Key),Suzy,-1
